PFAM_ACC,CLAN,CLAN_Name,PFAM_Name,PFAM_desc
PF16113,CL0127,ClpP_crotonase,ECH_2,Enoyl-CoA hydratase/isomerase
PF00679,CL0437,EF-G_C,EFG_C,Elongation factor G C-terminus
PF14492,CL0437,EF-G_C,EFG_III,"Elongation Factor G, domain III"
PF03764,CL0329,S5,EFG_IV,"Elongation factor G, domain IV"
PF01132,CL0021,OB,EFP,Elongation factor P (EF-P) OB domain
PF08207,CL0107,KOW,EFP_N,Elongation factor P (EF-P) KOW-like domain
PF00889,,,EF_TS,Elongation factor TS
PF07264,,,EI24,Etoposide-induced protein 2.4 (EI24)
PF01176,CL0021,OB,eIF-1a,Translation initiation factor 1A / IF-1
PF00208,CL0063,NADP_Rossmann,ELFV_dehydrog,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF02812,CL0603,AA_dh_N,ELFV_dehydrog_N,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain"
PF09285,CL0021,OB,Elong-fact-P_C,"Elongation factor P, C-terminal"
PF04231,CL0263,His-Me_finger,Endonuclease_1,Endonuclease I
PF04493,CL0219,RNase_H,Endonuclease_5,Endonuclease V
PF01223,CL0263,His-Me_finger,Endonuclease_NS,DNA/RNA non-specific endonuclease
PF00113,CL0256,Enolase_TIM,Enolase_C,"Enolase, C-terminal TIM barrel domain"
PF03952,CL0227,Enolase_N,Enolase_N,"Enolase, N-terminal domain"
PF12241,CL0063,NADP_Rossmann,Enoyl_reductase,Trans-2-enoyl-CoA reductase catalytic region
PF01370,CL0063,NADP_Rossmann,Epimerase,NAD dependent epimerase/dehydratase family
PF14897,CL0111,GT-C,EpsG,EpsG family
PF00275,CL0290,EPT_RTPC,EPSP_synthase,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF16203,CL0023,P-loop_NTPase,ERCC3_RAD25_C,ERCC3/RAD25/XPB C-terminal helicase
PF05139,CL0572,TIKI,Erythro_esteras,Erythromycin esterase
PF00756,CL0028,AB_hydrolase,Esterase,Putative esterase
PF01012,CL0039,HUP,ETF,Electron transfer flavoprotein domain
PF00766,CL0085,FAD_DHS,ETF_alpha,Electron transfer flavoprotein FAD-binding domain
PF06277,CL0108,Actin_ATPase,EutA,Ethanolamine utilisation protein EutA
PF02472,,,ExbD,Biopolymer transport protein ExbD/TolR
PF02601,,,Exonuc_VII_L,"Exonuclease VII, large subunit"
PF03372,CL0530,DNase_I-like,Exo_endo_phos,Endonuclease/Exonuclease/phosphatase family
PF03807,CL0063,NADP_Rossmann,F420_oxidored,NADP oxidoreductase coenzyme F420-dependent
PF00754,CL0202,GBD,F5_F8_type_C,F5/8 type C domain
PF01557,CL0377,FAH,FAA_hydrolase,Fumarylacetoacetate (FAA) hydrolase family
PF09298,,,FAA_hydrolase_N,Fumarylacetoacetase N-terminal
PF18288,,,FAA_hydro_N_2,Fumarylacetoacetase N-terminal domain 2
PF07977,CL0050,HotDog,FabA,FabA-like domain
PF02913,CL0277,FAD-oxidase_C,FAD-oxidase_C,"FAD linked oxidases, C-terminal domain"
PF00890,CL0063,NADP_Rossmann,FAD_binding_2,FAD binding domain
PF01494,CL0063,NADP_Rossmann,FAD_binding_3,FAD binding domain
PF01565,CL0077,FAD_PCMH,FAD_binding_4,FAD binding domain 
PF00970,CL0076,FAD_Lum_binding,FAD_binding_6,Oxidoreductase FAD-binding domain
PF03441,,,FAD_binding_7,FAD binding domain of DNA photolyase
PF12831,CL0063,NADP_Rossmann,FAD_oxidored,FAD dependent oxidoreductase
PF06574,CL0039,HUP,FAD_syn,FAD synthetase
PF08392,CL0046,Thiolase,FAE1_CUT1_RppA,FAE1/Type III polyketide synthase-like protein
PF02469,,,Fasciclin,Fasciclin domain
PF00487,,,FA_desaturase,Fatty acid desaturase
PF03405,CL0044,Ferritin,FA_desaturase_2,Fatty acid desaturase
PF04116,,,FA_hydroxylase,Fatty acid hydroxylase superfamily
PF00316,CL0171,Phospoesterase,FBPase,"Fructose-1-6-bisphosphatase, N-terminal domain"
PF18913,,,FBPase_C,"Fructose-1-6-bisphosphatase, C-terminal domain"
PF10862,CL0050,HotDog,FcoT,FcoT-like thioesterase domain
PF03147,,,FDX-ACB,Ferredoxin-fold anticodon binding domain
PF00465,CL0224,DHQS,Fe-ADH,Iron-containing alcohol dehydrogenase 
PF13685,CL0224,DHQS,Fe-ADH_2,Iron-containing alcohol dehydrogenase
PF01521,,,Fe-S_biosyn,Iron-sulphur cluster biosynthesis
PF01032,CL0142,Membrane_trans,FecCD,FecCD transport family
PF04773,,,FecR,FecR protein
PF02388,CL0257,Acetyltrans,FemAB,FemAB family
PF04339,CL0257,Acetyltrans,FemAB_like,Peptidogalycan biosysnthesis/recognition
PF04023,CL0206,TRB,FeoA,FeoA domain
PF07664,,,FeoB_C,Ferrous iron transport protein B C terminus
PF02421,CL0023,P-loop_NTPase,FeoB_N,Ferrous iron transport protein B
PF00111,CL0486,Fer2,Fer2,2Fe-2S iron-sulfur cluster binding domain
PF01799,CL0486,Fer2,Fer2_2,[2Fe-2S] binding domain
PF13085,CL0486,Fer2,Fer2_3,2Fe-2S iron-sulfur cluster binding domain
PF00037,CL0344,4Fe-4S,Fer4,4Fe-4S binding domain
PF13237,CL0344,4Fe-4S,Fer4_10,4Fe-4S dicluster domain
PF13247,CL0344,4Fe-4S,Fer4_11,4Fe-4S dicluster domain
PF13353,CL0344,4Fe-4S,Fer4_12,4Fe-4S single cluster domain
PF13394,CL0344,4Fe-4S,Fer4_14,4Fe-4S single cluster domain
PF13484,CL0344,4Fe-4S,Fer4_16,4Fe-4S double cluster binding domain
PF13534,CL0344,4Fe-4S,Fer4_17,4Fe-4S dicluster domain
PF12797,CL0344,4Fe-4S,Fer4_2,4Fe-4S binding domain
PF14691,CL0344,4Fe-4S,Fer4_20,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster"
PF14697,CL0344,4Fe-4S,Fer4_21,4Fe-4S dicluster domain
PF12800,CL0344,4Fe-4S,Fer4_4,4Fe-4S binding domain
PF12837,CL0344,4Fe-4S,Fer4_6,4Fe-4S binding domain
PF12838,CL0344,4Fe-4S,Fer4_7,4Fe-4S dicluster domain
PF13183,CL0344,4Fe-4S,Fer4_8,4Fe-4S dicluster domain
PF13187,CL0344,4Fe-4S,Fer4_9,4Fe-4S dicluster domain
PF00142,CL0023,P-loop_NTPase,Fer4_NifH,"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family"
PF00210,CL0044,Ferritin,Ferritin,Ferritin-like domain
PF00762,CL0043,Chelatase,Ferrochelatase,Ferrochelatase
PF01883,CL0232,NifU,FeS_assembly_P,Iron-sulfur cluster assembly protein
PF01325,CL0123,HTH,Fe_dep_repress,"Iron dependent repressor, N-terminal DNA binding domain"
PF02742,CL0123,HTH,Fe_dep_repr_C,"Iron dependent repressor, metal binding and dimerisation domain"
PF01839,CL0186,Beta_propeller,FG-GAP,FG-GAP repeat
PF18072,,,FGAR-AT_linker,Formylglycinamide ribonucleotide amidotransferase linker domain
PF18076,,,FGAR-AT_N,Formylglycinamide ribonucleotide amidotransferase N-terminal
PF05013,CL0035,Peptidase_MH,FGase,N-formylglutamate amidohydrolase
PF03781,CL0056,C_Lectin,FGE-sulfatase,Sulfatase-modifying factor enzyme 1
PF06276,,,FhuF,Ferric iron reductase FhuF-like transporter
PF02661,,,Fic,Fic/DOC family
PF00254,CL0487,FKBP,FKBP_C,FKBP-type peptidyl-prolyl cis-trans isomerase
PF01613,CL0336,FMN-binding,Flavin_Reduct,Flavin reductase like domain
PF00258,CL0042,Flavoprotein,Flavodoxin_1,Flavodoxin
PF02525,CL0042,Flavoprotein,Flavodoxin_2,Flavodoxin-like fold
PF01687,,,Flavokinase,Riboflavin kinase
PF02441,,,Flavoprotein,Flavoprotein
PF18998,CL0072,Ubiquitin,Flg_new_2,Divergent InlB B-repeat domain
PF04205,,,FMN_bind,FMN-binding domain
PF01070,CL0036,TIM_barrel,FMN_dh,FMN-dependent dehydrogenase
PF03358,CL0042,Flavoprotein,FMN_red,NADPH-dependent FMN reductase
PF00743,CL0063,NADP_Rossmann,FMO-like,Flavin-binding monooxygenase-like
PF00041,CL0159,E-set,fn3,Fibronectin type III domain
PF14310,CL0159,E-set,Fn3-like,Fibronectin type III-like domain
PF16893,CL0159,E-set,fn3_2,Fibronectin type III domain
PF13287,CL0159,E-set,Fn3_assoc,Fn3 associated
PF02152,CL0334,THBO-biosyn,FolB,Dihydroneopterin aldolase
PF02911,,,Formyl_trans_C,"Formyl transferase, C-terminal domain"
PF00551,,,Formyl_trans_N,Formyl transferase
PF08445,CL0257,Acetyltrans,FR47,FR47-like protein
PF03881,CL0016,PKinase,Fructosamin_kin,Fructosamine kinase
PF03959,CL0028,AB_hydrolase,FSH1,Serine hydrolase (FSH1)
PF14450,CL0108,Actin_ATPase,FtsA,Cell division protein FtsA
PF06480,,,FtsH_ext,FtsH Extracellular
PF13491,,,FtsK_4TM,4TM region of DNA translocase FtsK/SpoIIIE
PF17854,,,FtsK_alpha,FtsK alpha domain
PF09397,CL0123,HTH,FtsK_gamma,Ftsk gamma domain
PF01580,CL0023,P-loop_NTPase,FtsK_SpoIIIE,FtsK/SpoIIIE family
PF01098,CL0142,Membrane_trans,FTSW_RODA_SPOVE,Cell cycle protein
PF02687,CL0404,BPD_transp_1,FtsX,FtsX-like permease family
PF18075,CL0032,Dim_A_B_barrel,FtsX_ECD,FtsX extracellular domain
PF12327,CL0442,Tubulin_C,FtsZ_C,"FtsZ family, C-terminal domain"
PF10415,,,FumaraseC_C,Fumarase C C-terminus
PF01475,CL0123,HTH,FUR,Ferric uptake regulator family
PF01116,CL0036,TIM_barrel,F_bP_aldolase,Fructose-bisphosphate aldolase class-II
PF02938,CL0250,GAD,GAD,GAD domain
PF01590,CL0161,GAF,GAF,GAF domain
PF13185,CL0161,GAF,GAF_2,GAF domain
PF13975,CL0129,Peptidase_AA,gag-asp_proteas,gag-polyprotein putative aspartyl protease
PF10509,CL0329,S5,GalKase_gal_bdg,Galactokinase galactose-binding signature
PF13802,CL0103,Gal_mutarotase,Gal_mutarotas_2,Galactose mutarotase-like
PF01071,CL0179,ATP-grasp,GARS_A,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain"
PF02843,CL0105,Hybrid,GARS_C,"Phosphoribosylglycinamide synthetase, C domain"
PF02844,CL0483,PreATP-grasp,GARS_N,"Phosphoribosylglycinamide synthetase, N domain"
PF00117,CL0014,Glutaminase_I,GATase,Glutamine amidotransferase class-I
PF00310,CL0052,NTN,GATase_2,Glutamine amidotransferases class-II
PF07685,CL0014,Glutaminase_I,GATase_3,CobB/CobQ-like glutamine amidotransferase domain
PF13230,CL0052,NTN,GATase_4,Glutamine amidotransferases class-II
PF13507,CL0014,Glutaminase_I,GATase_5,CobB/CobQ-like glutamine amidotransferase domain
PF13522,CL0052,NTN,GATase_6,Glutamine amidotransferase domain
PF13537,CL0052,NTN,GATase_7,Glutamine amidotransferase domain
PF07670,,,Gate,Nucleoside recognition
PF04572,,,Gb3_synth,"Alpha 1,4-glycosyltransferase conserved region"
PF01597,CL0105,Hybrid,GCV_H,Glycine cleavage H-protein
PF01571,CL0289,FBD,GCV_T,Aminomethyltransferase folate-binding domain
PF08669,,,GCV_T_C,Glycine cleavage T-protein C-terminal barrel domain
PF02347,CL0061,PLP_aminotran,GDC-P,Glycine cleavage system P-protein
PF03009,CL0384,PLC,GDPD,Glycerophosphoryl diester phosphodiesterase family
PF16363,CL0063,NADP_Rossmann,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase"
PF00196,CL0123,HTH,GerE,"Bacterial regulatory proteins, luxR family"
PF01408,CL0063,NADP_Rossmann,GFO_IDH_MocA,"Oxidoreductase family, NAD-binding Rossmann fold"
PF02894,CL0139,GADPH_aa-bio_dh,GFO_IDH_MocA_C,"Oxidoreductase family, C-terminal alpha/beta domain"
PF17829,CL0202,GBD,GH115_C,Gylcosyl hydrolase family 115 C-terminal domain
PF03321,CL0378,ANL,GH3,GH3 auxin-responsive promoter
PF16369,CL0116,Calycin,GH43_C,C-terminal lipocalin-like domain
PF02638,CL0058,Glyco_hydro_tim,GHL10,Glycosyl hydrolase-like 10
PF14871,CL0058,Glyco_hydro_tim,GHL6,Hypothetical glycosyl hydrolase 6
PF08544,CL0677,GHMP_C,GHMP_kinases_C,GHMP kinases C terminal 
PF00288,CL0329,S5,GHMP_kinases_N,GHMP kinases N terminal domain
PF01134,CL0063,NADP_Rossmann,GIDA,Glucose inhibited division protein A
PF13932,,,GIDA_assoc,GidA associated domain
PF02527,CL0063,NADP_Rossmann,GidB,rRNA small subunit methyltransferase G
PF08388,CL0359,Intron-mat_II,GIIM,"Group II intron, maturase-specific domain"
PF01541,CL0418,GIY-YIG,GIY-YIG,GIY-YIG catalytic domain
PF14109,,,GldH_lipo,GldH lipoprotein
PF12080,,,GldM_C,GldM C-terminal domain
PF12081,,,GldM_N,GldM N-terminal domain
PF00120,CL0286,GCS,Gln-synt_C,"Glutamine synthetase, catalytic domain"
PF18318,,,Gln-synt_C-ter,Glutamine synthetase C-terminal domain
PF03951,,,Gln-synt_N,"Glutamine synthetase, beta-Grasp domain"
PF00042,CL0090,Globin,Globin,Globin
PF01182,CL0246,ISOCOT_Fold,Glucosamine_iso,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF04960,CL0013,Beta-lactamase,Glutaminase,Glutaminase
PF00462,CL0172,Thioredoxin,Glutaredoxin,Glutaredoxin
PF00745,,,GlutR_dimer,"Glutamyl-tRNAGlu reductase, dimerisation domain"
PF05201,,,GlutR_N,"Glutamyl-tRNAGlu reductase, N-terminal domain"
PF05096,CL0186,Beta_propeller,Glu_cyclase_2,Glutamine cyclotransferase
PF01645,CL0036,TIM_barrel,Glu_synthase,Conserved region in glutamate synthase
PF04898,CL0036,TIM_barrel,Glu_syn_central,Glutamate synthase central domain
PF13488,CL0500,Glycine-zipper,Gly-zipper_Omp,Glycine zipper
PF13441,CL0500,Glycine-zipper,Gly-zipper_YMGG,YMGG-like Gly-zipper
PF14845,CL0546,Hexosaminidase,Glycohydro_20b2,beta-acetyl hexosaminidase like
PF00534,CL0113,GT-B,Glycos_transf_1,Glycosyl transferases group 1
PF00535,CL0110,GT-A,Glycos_transf_2,Glycosyl transferase family 2
PF00591,,,Glycos_transf_3,"Glycosyl transferase family, a/b domain"
PF00953,,,Glycos_transf_4,Glycosyl transferase family 4
PF04413,CL0113,GT-B,Glycos_transf_N,3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
PF02885,,,Glycos_trans_3N,"Glycosyl transferase family, helical bundle domain"
PF00722,CL0004,Concanavalin,Glyco_hydro_16,Glycosyl hydrolases family 16
PF00704,CL0058,Glyco_hydro_tim,Glyco_hydro_18,Glycosyl hydrolases family 18
PF00182,CL0037,Lysozyme,Glyco_hydro_19,Chitinase class I
PF00728,CL0058,Glyco_hydro_tim,Glyco_hydro_20,"Glycosyl hydrolase family 20, catalytic domain"
PF02838,CL0546,Hexosaminidase,Glyco_hydro_20b,"Glycosyl hydrolase family 20, domain 2"
PF01183,CL0058,Glyco_hydro_tim,Glyco_hydro_25,Glycosyl hydrolases family 25
PF02836,CL0058,Glyco_hydro_tim,Glyco_hydro_2_C,"Glycosyl hydrolases family 2, TIM barrel domain"
PF00933,CL0058,Glyco_hydro_tim,Glyco_hydro_3,Glycosyl hydrolase family 3 N terminal domain
PF01055,CL0058,Glyco_hydro_tim,Glyco_hydro_31,Glycosyl hydrolases family 31 
PF01915,,,Glyco_hydro_3_C,Glycosyl hydrolase family 3 C-terminal domain
PF16483,,,Glyco_hydro_64,"Beta-1,3-glucanase"
PF03633,,,Glyco_hydro_65C,"Glycosyl hydrolase family 65, C-terminal domain "
PF03632,CL0059,6_Hairpin,Glyco_hydro_65m,Glycosyl hydrolase family 65 central catalytic domain
PF03636,CL0103,Gal_mutarotase,Glyco_hydro_65N,"Glycosyl hydrolase family 65, N-terminal domain "
PF07971,CL0268,Pec_lyase-like,Glyco_hydro_92,Glycosyl hydrolase family 92
PF17678,CL0103,Gal_mutarotase,Glyco_hydro_92N,Glycosyl hydrolase family 92 N-terminal domain
PF16317,CL0058,Glyco_hydro_tim,Glyco_hydro_99,Glycosyl hydrolase family 99
PF10111,CL0110,GT-A,Glyco_tranf_2_2,Glycosyltransferase like family 2
PF13641,CL0110,GT-A,Glyco_tranf_2_3,Glycosyltransferase like family 2
PF13506,CL0110,GT-A,Glyco_transf_21,Glycosyl transferase family 21
PF03033,CL0113,GT-B,Glyco_transf_28,Glycosyltransferase family 28 N-terminal domain
PF13439,CL0113,GT-B,Glyco_transf_4,Glycosyltransferase Family 4
PF08323,CL0113,GT-B,Glyco_transf_5,Starch synthase catalytic domain
PF02709,CL0110,GT-A,Glyco_transf_7C,N-terminal domain of galactosyltransferase
PF01075,CL0113,GT-B,Glyco_transf_9,Glycosyltransferase family 9 (heptosyltransferase)
PF13524,CL0113,GT-B,Glyco_trans_1_2,Glycosyl transferases group 1
PF13692,CL0113,GT-B,Glyco_trans_1_4,Glycosyl transferases group 1
PF13632,CL0110,GT-A,Glyco_trans_2_3,Glycosyl transferase family group 2
PF13477,CL0113,GT-B,Glyco_trans_4_2,Glycosyl transferase 4-like
PF13579,CL0113,GT-B,Glyco_trans_4_4,Glycosyl transferase 4-like domain
PF04101,CL0113,GT-B,Glyco_tran_28_C,Glycosyltransferase family 28 C-terminal domain
PF14307,CL0058,Glyco_hydro_tim,Glyco_tran_WbsX,Glycosyltransferase WbsX
PF03808,CL0063,NADP_Rossmann,Glyco_tran_WecB,Glycosyl transferase WecB/TagA/CpsF family
PF00903,CL0104,Glyoxalase,Glyoxalase,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF12681,CL0104,Glyoxalase,Glyoxalase_2,Glyoxalase-like domain
PF13468,CL0104,Glyoxalase,Glyoxalase_3,Glyoxalase-like domain
PF13669,CL0104,Glyoxalase,Glyoxalase_4,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF14696,CL0104,Glyoxalase,Glyoxalase_5,"Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal "
PF18029,CL0104,Glyoxalase,Glyoxalase_6,Glyoxalase-like domain
PF04488,CL0110,GT-A,Gly_transf_sug,Glycosyltransferase sugar-binding region containing DXD motif   
PF00958,,,GMP_synt_C,GMP synthase C terminal domain
PF12746,CL0257,Acetyltrans,GNAT_acetyltran,GNAT acetyltransferase
PF00392,CL0123,HTH,GntR,"Bacterial regulatory proteins, gntR family"
PF13807,,,GNVR,G-rich domain on putative tyrosine kinase
PF04965,,,GPW_gp25,Gene 25-like lysozyme
PF02800,CL0139,GADPH_aa-bio_dh,Gp_dh_C,"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
PF00044,CL0063,NADP_Rossmann,Gp_dh_N,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
PF01272,CL0487,FKBP,GreA_GreB,"Transcription elongation factor, GreA/GreB, C-term"
PF03449,,,GreA_GreB_N,"Transcription elongation factor, N-terminal"
PF04229,CL0260,NTP_transf,GrpB,GrpB protein
PF01025,,,GrpE,GrpE
PF08885,CL0264,SGNH_hydrolase,GSCFA,GSCFA family
PF02955,CL0179,ATP-grasp,GSH-S_ATP,"Prokaryotic glutathione synthetase, ATP-grasp domain"
PF00255,CL0172,Thioredoxin,GSHPx,Glutathione peroxidase
PF12437,,,GSIII_N,Glutamine synthetase type III N terminal 
PF13417,CL0172,Thioredoxin,GST_N_3,"Glutathione S-transferase, N-terminal domain"
PF16360,,,GTP-bdg_M,GTP-binding GTPase Middle Region
PF13167,,,GTP-bdg_N,GTP-binding GTPase N-terminal
PF01018,,,GTP1_OBG,GTP1/OBG
PF00925,,,GTP_cyclohydro2,GTP cyclohydrolase II
PF01227,CL0334,THBO-biosyn,GTP_cyclohydroI,GTP cyclohydrolase I
PF00009,CL0023,P-loop_NTPase,GTP_EFTU,Elongation factor Tu GTP binding domain
PF03144,CL0575,EFTPs,GTP_EFTU_D2,Elongation factor Tu domain 2
PF03143,,,GTP_EFTU_D3,Elongation factor Tu C-terminal domain
PF04670,CL0023,P-loop_NTPase,Gtr1_RagA,Gtr1/RagA G protein conserved region
PF00211,CL0276,Nucleot_cyclase,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain
PF00625,CL0023,P-loop_NTPase,Guanylate_kin,Guanylate kinase
PF01493,,,GXGXG,GXGXG motif
PF14237,CL0673,GYF,GYF_2,GYF domain 2
PF06445,CL0319,SHS2,GyrI-like,GyrI-like small molecule binding domain
PF01019,CL0052,NTN,G_glu_transpept,Gamma-glutamyltranspeptidase
PF03883,,,H2O2_YaaD,Peroxide stress protein YaaA
PF12710,CL0137,HAD,HAD,haloacid dehalogenase-like hydrolase
PF13419,CL0137,HAD,HAD_2,Haloacid dehalogenase-like hydrolase
PF03928,CL0161,GAF,Haem_degrading,Haem-degrading
PF02183,,,HALZ,Homeobox associated leucine zipper
PF01725,CL0269,Maf,Ham1p_like,Ham1 family
PF02518,CL0025,His_Kinase_A,HATPase_c,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF13581,CL0025,His_Kinase_A,HATPase_c_2,Histidine kinase-like ATPase domain
PF13589,CL0025,His_Kinase_A,HATPase_c_3,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF14501,CL0025,His_Kinase_A,HATPase_c_5,GHKL domain
PF01966,CL0237,HD_PDEase,HD,HD domain
PF14701,CL0058,Glyco_hydro_tim,hDGE_amylase,"Glycogen debranching enzyme, glucanotransferase domain "
PF08668,CL0237,HD_PDEase,HDOD,HDOD domain
PF13328,CL0237,HD_PDEase,HD_4,HD domain
PF13646,CL0020,TPR,HEAT_2,HEAT repeats
PF00271,CL0023,P-loop_NTPase,Helicase_C,Helicase conserved C-terminal domain
PF11408,CL0426,HRDC-like,Helicase_Sgs1,Sgs1 RecQ helicase
PF02602,,,HEM4,Uroporphyrinogen-III synthase HemD
PF01814,,,Hemerythrin,Hemerythrin HHE cation binding domain
PF05168,CL0291,KNTase_C,HEPN,HEPN domain
PF18735,CL0291,KNTase_C,HEPN_RiboL-PSP,RiboL-PSP-HEPN
PF00132,CL0536,HEXAPEP,Hexapep,Bacterial transferase hexapeptide (six repeats)
PF14602,CL0536,HEXAPEP,Hexapep_2,Hexapeptide repeat of succinyl-transferase
PF04209,CL0029,Cupin,HgmA,"homogentisate 1,2-dioxygenase"
PF03129,CL0458,IIaaRS-ABD,HGTP_anticodon,Anticodon binding domain
PF00633,CL0198,HHH,HHH,Helix-hairpin-helix motif
PF00730,CL0198,HHH,HhH-GPD,HhH-GPD superfamily base excision DNA repair protein
PF12826,CL0198,HHH,HHH_2,Helix-hairpin-helix motif
PF12836,CL0198,HHH,HHH_3,Helix-hairpin-helix motif
PF14520,CL0198,HHH,HHH_5,Helix-hairpin-helix domain
PF14579,CL0198,HHH,HHH_6,Helix-hairpin-helix motif
PF14635,CL0198,HHH,HHH_7,Helix-hairpin-helix motif                       
PF17674,CL0198,HHH,HHH_9,HHH domain
PF03486,CL0063,NADP_Rossmann,HI0933_like,HI0933-like protein
PF09907,,,HigB_toxin,"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"
PF07804,CL0016,PKinase,HipA_C,HipA-like C-terminal domain
PF01634,CL0177,PBP,HisG,ATP phosphoribosyltransferase
PF08029,CL0089,GlnB-like,HisG_C,"HisG, C-terminal domain"
PF00512,CL0025,His_Kinase_A,HisKA,His Kinase A (phospho-acceptor) domain
PF07568,CL0025,His_Kinase_A,HisKA_2,Histidine kinase
PF07730,CL0025,His_Kinase_A,HisKA_3,Histidine kinase
PF00815,CL0099,ALDH-like,Histidinol_dh,Histidinol dehydrogenase
PF00850,CL0302,Arginase,Hist_deacetyl,Histone deacetylase domain
PF00977,CL0036,TIM_barrel,His_biosynth,Histidine biosynthesis protein
PF06580,,,His_kinase,Histidine kinase
PF00300,CL0071,His_phosphatase,His_Phos_1,Histidine phosphatase superfamily (branch 1)
PF01230,CL0265,HIT,HIT,HIT domain
PF00529,CL0105,Hybrid,HlyD,HlyD membrane-fusion protein of T1SS
PF12700,CL0105,Hybrid,HlyD_2,HlyD family secretion protein
PF13437,CL0105,Hybrid,HlyD_3,HlyD family secretion protein
PF16576,CL0105,Hybrid,HlyD_D23,Barrel-sandwich domain of CusB or HlyD membrane-fusion
PF16572,CL0105,Hybrid,HlyD_D4,"Long alpha hairpin domain of cation efflux system protein, CusB"
PF00403,,,HMA,Heavy-metal-associated domain
PF00368,,,HMG-CoA_red,Hydroxymethylglutaryl-coenzyme A reductase
PF00682,CL0036,TIM_barrel,HMGL-like,HMGL-like
PF14064,,,HmuY,HmuY protein
PF07700,CL0210,HNOX-like,HNOB,Haem-NO-binding
PF00742,CL0139,GADPH_aa-bio_dh,Homoserine_dh,Homoserine dehydrogenase
PF08888,,,HopJ,HopJ type III effector protein
PF03241,CL0087,Acyl-CoA_dh,HpaB,4-hydroxyphenylacetate 3-hydroxylase C terminal
PF11794,,,HpaB_N,4-hydroxyphenylacetate 3-hydroxylase N terminal
PF03328,CL0151,PK_TIM,HpcH_HpaI,HpcH/HpaI aldolase/citrate lyase family
PF04982,CL0307,FUSC,HPP,HPP family
PF01288,,,HPPK,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)"
PF01627,,,Hpt,Hpt domain
PF00570,CL0426,HRDC-like,HRDC,HRDC domain
PF04313,CL0236,PDDEXK,HSDR_N,Type I restriction enzyme R protein N terminus (HSDR_N)
PF13588,CL0236,PDDEXK,HSDR_N_2,Type I restriction enzyme R protein N terminus (HSDR_N)
PF00011,CL0190,HSP20,HSP20,Hsp20/alpha crystallin family
PF00012,CL0108,Actin_ATPase,HSP70,Hsp70 protein
PF00183,,,HSP90,Hsp90 protein
PF11534,,,HTHP,Hexameric tyrosine-coordinated heme protein (HTHP)
PF00126,CL0123,HTH,HTH_1,"Bacterial regulatory helix-turn-helix protein, lysR family"
PF08279,CL0123,HTH,HTH_11,HTH domain
PF12728,CL0123,HTH,HTH_17,Helix-turn-helix domain
PF12833,CL0123,HTH,HTH_18,Helix-turn-helix domain
PF12844,CL0123,HTH,HTH_19,Helix-turn-helix domain
PF12840,CL0123,HTH,HTH_20,Helix-turn-helix domain
PF13276,CL0123,HTH,HTH_21,HTH-like domain
PF13384,CL0123,HTH,HTH_23,Homeodomain-like domain
PF13412,CL0123,HTH,HTH_24,Winged helix-turn-helix DNA-binding
PF13443,CL0123,HTH,HTH_26,Cro/C1-type HTH DNA-binding domain
PF13463,CL0123,HTH,HTH_27,Winged helix DNA-binding domain
PF13551,CL0123,HTH,HTH_29,Winged helix-turn helix
PF01381,CL0123,HTH,HTH_3,Helix-turn-helix
PF13560,CL0123,HTH,HTH_31,Helix-turn-helix domain
PF13601,CL0123,HTH,HTH_34,Winged helix DNA-binding domain
PF14493,CL0123,HTH,HTH_40,Helix-turn-helix domain
PF01022,CL0123,HTH,HTH_5,"Bacterial regulatory protein, arsR family"
PF18024,CL0123,HTH,HTH_50,Helix-turn-helix domain
PF02954,CL0123,HTH,HTH_8,"Bacterial regulatory protein, Fis family"
PF00165,CL0123,HTH,HTH_AraC,"Bacterial regulatory helix-turn-helix proteins, AraC family"
PF13404,CL0123,HTH,HTH_AsnC-type,AsnC-type helix-turn-helix domain
PF13545,CL0123,HTH,HTH_Crp_2,Crp-like helix-turn-helix domain
PF08220,CL0123,HTH,HTH_DeoR,DeoR-like helix-turn-helix domain
PF09339,CL0123,HTH,HTH_IclR,IclR helix-turn-helix domain
PF19187,CL0123,HTH,HTH_PafC,PafC helix-turn-helix domain
